current,observed
0.0,-65.160386
0.0,-65.264872
0.0,-65.049672
0.0,-64.915911
0.0,-64.772791
0.0,-64.978059
0.0,-65.110529
0.0,-65.156956
0.0,-64.850251
0.0,-64.673043
5.0,-59.945446
5.0,-55.746666
5.0,-51.641653
5.0,-64.679996
5.0,-59.959424
5.0,-55.846427
5.0,-51.466739
5.0,-65.232645
5.0,-60.125858
5.0,-55.597601
5.0,-51.592663
5.0,-64.889324
5.0,-60.012617
5.0,-55.617886
5.0,-51.368072
5.0,-64.834029
5.0,-60.328605
5.0,-55.551346
5.0,-51.646149
5.0,-65.034631
5.0,-60.257884
5.0,-55.495862
5.0,-51.457577
5.0,-65.060868
5.0,-60.209585
5.0,-55.579238
5.0,-51.668266
5.0,-65.271042
5.0,-59.955043
5.0,-55.721870
5.0,-51.215941
5.0,-64.856682
5.0,-60.399563
5.0,-55.445574
5.0,-51.670343
5.0,-64.993389
5.0,-59.991274
5.0,-55.897686
5.0,-51.496685
5.0,-65.051158
5.0,-59.807600
5.0,-55.736289
5.0,-51.302392
5.0,-65.219795
5.0,-60.066258
5.0,-55.668095
5.0,-51.160254
5.0,-64.886357
5.0,-59.513653
5.0,-55.371617
5.0,-51.281001
5.0,-64.831863
5.0,-60.121322
5.0,-55.514006
5.0,-51.179922
5.0,-65.079310
5.0,-59.962240
5.0,-55.504245
5.0,-51.328157
5.0,-65.072982
5.0,-60.030472
5.0,-55.451524
5.0,-51.429395
5.0,-65.172995
5.0,-59.820843
5.0,-55.759696
5.0,-51.690223
5.0,-65.256498
5.0,-59.806606
5.0,-55.572122
