epoch,sigma,train_acc,train_loss,val_acc,fpga_val_acc,val_loss,test_acc,test_loss,lr,lr_pos,time_s
0,15.0000,4.51,32.1559,4.68,3.50,9.9419,3.76,10.5476,2.06e-04,5.00e-02,82.2
1,14.9983,5.58,20.7845,7.34,5.61,5.7121,-1.00,-1.0000,2.24e-04,5.00e-02,73.6
2,14.9933,5.94,13.4774,7.77,5.89,3.5250,-1.00,-1.0000,2.55e-04,5.00e-02,75.3
3,14.9850,5.64,7.5306,6.47,6.15,3.0258,-1.00,-1.0000,2.97e-04,4.99e-02,74.9
4,14.9733,6.03,4.2224,5.72,5.72,2.9910,-1.00,-1.0000,3.51e-04,4.99e-02,75.2
5,14.9584,6.21,3.2635,5.92,6.28,2.9867,-1.00,-1.0000,4.17e-04,4.98e-02,74.8
6,14.9401,6.75,3.0495,7.17,6.15,2.9730,-1.00,-1.0000,4.94e-04,4.97e-02,74.8
7,14.9185,8.47,3.0034,7.71,6.13,2.9609,-1.00,-1.0000,5.81e-04,4.96e-02,75.1
8,14.8936,8.84,2.9849,7.96,6.58,2.9556,-1.00,-1.0000,6.79e-04,4.96e-02,74.5
9,14.8654,10.10,2.9609,8.68,7.08,2.9420,-1.00,-1.0000,7.86e-04,4.95e-02,74.4
10,14.8339,10.71,2.9413,10.63,8.29,2.9167,12.62,2.8958,9.03e-04,4.93e-02,74.8
11,14.7992,11.67,2.9231,11.43,8.31,2.8974,-1.00,-1.0000,1.03e-03,4.92e-02,74.4
12,14.7612,12.26,2.9009,14.09,8.92,2.8498,-1.00,-1.0000,1.16e-03,4.91e-02,75.2
13,14.7200,13.73,2.8524,15.18,10.93,2.8122,-1.00,-1.0000,1.30e-03,4.89e-02,74.6
14,14.6756,15.29,2.8154,17.41,12.63,2.7579,-1.00,-1.0000,1.45e-03,4.88e-02,74.8
15,14.6280,15.76,2.7802,20.93,13.06,2.6927,-1.00,-1.0000,1.60e-03,4.86e-02,74.9
16,14.5773,16.56,2.7489,21.78,15.37,2.6725,-1.00,-1.0000,1.76e-03,4.84e-02,74.7
17,14.5233,18.57,2.7038,21.71,17.51,2.6319,-1.00,-1.0000,1.92e-03,4.82e-02,75.2
